# File Name: ANAVIGATION.txt
# File Size: 21277       
# File Date: 12/19/2024 19:23:45
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	STATUS	MISSING
Holy-Bible---Ahirani---Gospels		
Holy-Bible---Amo---Amo-Bible		
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible		
Holy-Bible---Arabic---New-Arabic-Bible		
Holy-Bible---Aramaic---Syriac-Peshitta		
Holy-Bible---Arapaho---Arapaho-Luke		
Holy-Bible---Armenian---Armenian-Bible-Eastern		
Holy-Bible---Armenian---Armenian-Bible-Eastern	VERSMISS	042-LUK-001-055
Holy-Bible---Armenian---Armenian-Bible-Eastern	VERSMISS	042-LUK-001-070
Holy-Bible---Armenian---Armenian-Bible-Western		
Holy-Bible---Assamese---Assamese-Bible		
Holy-Bible---Azerbaijani---Azerbaijani-Bible		
Holy-Bible---Azerbaijani---Azerbaijani-Bible	VERSMISS	042-LUK-001-055
Holy-Bible---Azerbaijani---Azerbaijani-Bible	VERSMISS	044-ACT-015-018
Holy-Bible---Bangwinji---Bangwinji-Bible		
Holy-Bible---Bareli-Palya---Palya-Bareli-Bible		
Holy-Bible---Basque---Basque-NT		
Holy-Bible---Beami---Bedamuni-Bible		
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	001-GEN-044-031
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	018-JOB-007-009
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	045-ROM-016-026
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	058-HEB-006-002
Holy-Bible---Beami---Bedamuni-Bible	VERSMISS	058-HEB-013-021
Holy-Bible---Beaver---Beaver-Mark		
Holy-Bible---Bengali---Bengali-Bible		
Holy-Bible---Bengali---Contemporary		
Holy-Bible---Bhadrawahi---Bhadrawahi-Bible		
Holy-Bible---Bhattiyali---Bhattiyali-Bible		
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	049-EPH-006-012
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	058-HEB-009-026
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	058-HEB-013-021
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	065-JUD-001-025
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-001-006
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-004-010
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-015-007
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-020-003
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-020-013
Holy-Bible---Bhattiyali---Bhattiyali-Bible	VERSMISS	066-REV-020-015
Holy-Bible---Blackfoot---Matthew		
