# File Name: BOOKS_CHECK.txt
# File Size: 266577      
# File Date: 02/11/2024 19:14:13
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	Ruth	1-Samuel	2-Samuel	1-Kings	2-Kings	1-Chronicles	2-Chronicles	Ezra	Nehemiah	Esther	Job	Psalms	Proverbs	Ecclesiastes	Song-of-Solomon	Isaiah	Jeremiah	Lamentations	Ezekiel	Daniel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Matthew	Mark	Luke	John	Acts	Romans	1-Corinthians	2-Corinthians	Galatians	Ephesians	Philippians	Colossians	1-Thessalonians	2-Thessalonians	1-Timothy	2-Timothy	Titus	Philemon	Hebrews	James	1-Peter	2-Peter	1-John	2-John	3-John	Jude	Revelation
CHAPTERS	50	40	27	36	34	24	21	4	31	24	22	25	29	36	10	13	10	42	150	31	12	8	66	52	5	48	12	14	3	9	1	4	7	3	3	3	2	14	4	28	16	24	21	28	16	16	13	6	6	4	4	5	3	6	4	3	1	13	5	5	3	5	1	1	1	22
CODE	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	1CH	2CH	EZR	NEH	EST	JOB	PSA	PRO	ECC	SOL	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	LUK	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
ENGLISH	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	Ruth	1 Samuel	2 Samuel	1 Kings	2 Kings	1 Chronicles	2 Chronicles	Ezra	Nehemiah	Esther	Job	Psalms	Proverbs	Ecclesiastes	Song of Solomon	Isaiah	Jeremiah	Lamentations	Ezekiel	Daniel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Matthew	Mark	Luke	John	Acts	Romans	1 Corinthians	2 Corinthians	Galatians	Ephesians	Philippians	Colossians	1 Thessalonians	2 Thessalonians	1 Timothy	2 Timothy	Titus	Philemon	Hebrews	James	1 Peter	2 Peter	1 John	2 John	3 John	Jude	Revelation
EPUB	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	1CH	2CH	EZR	NEH	EST	JOB	PSA	PRO	ECC	SNG	ISA	JER	LAM	EZK	DAN	HOS	JOL	AMO	OBA	JON	MIC	NAM	HAB	ZEP	HAG	ZEC	MAL	MAT	MRK	LUK	JHN	ACT	ROM	1CO	2CO	GAL	EPH	PHP	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAS	1PE	2PE	1JN	2JN	3JN	JUD	REV
NUMBER	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
Holy-Bible---Ahirani---Gospels	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	मत्तय	मार्क	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Holy-Bible---Albanian-Tosk---Albanian-Bible	Zanafilla	Eksodi	Levitiku	Numrat	Ligji i Përtërirë	Jozueu	Gjyqtarët	Ruthi	1 i Samuelit	2 i Samuelit	1 i Mbretërve	2 i Mbretërve	1 i Kronikave	2 i Kronikave	Esdra	Nehemia	Ester	Jobi	Psalmet	Fjalët e urta	Predikuesi	Kantiku i Kantikëve	Isaia	Jeremia	Vajtimet	Ezekieli	Danieli	Osea	Joeli	Amosi	Abdia	Jona	Mikea	Nahumi	Habakuku	Sofonia	Hagai	Zakaria	Malakia	Mateu	Marku	Luka	Gjoni	Veprat e Apostujve	Romakëve	1 e Korintasve	2 e Korintasve	Galatasve	Efesianëve	Filipianëve	Kolosianëve	1 Thesalonikasve	2 Thesalonikasve	1 Timoteut	2 Timoteut	Titi	Filemonit	Hebrenjve	Jakobit	1 Pjetrit	2 Pjetrit	1 Gjonit	2 Gjonit	3 Gjonit	Juda	Zbulesa
Holy-Bible---Amo---Amo-Bible	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Matiyu	Markos	Luka	Yuhana	Katwa Nono Katwa	Roma	1 Ukorintiyawa	2 Ukorintiyawa	Ugalantiyawa	Uafisawa	Filibiya	Ukolosiya	1 Utasalonika	2 Utasalonika	1 Timothawus	2 Timotawus	Titus	Filimon	Ibraniyawa	Yakubu	1 Bitrus	2 Bitrus	1 Yuhana	2 Yuhana	3 Yuhana	Yahuda	Uruyan Yuhana
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	اَلتَّكْوِينُ	اَلْخُرُوجُ	اَللَّاوِيِّينَ	اَلْعَدَد	اَلتَّثْنِيَة	يَشُوع	اَلْقُضَاة	رَاعُوث	صَمُوئِيلَ ٱلْأَوَّلُ	صَمُوئِيلَ ٱلثَّانِي	اَلْمُلُوكِ ٱلْأَوَّلُ	اَلْمُلُوكِ ٱلثَّانِي	١ أخبار	٢ أخبار	عَزْرَا	نَحَمْيَا	أَسْتِير	أَيُّوبَ	اَلْمَزَامِيرُ	أَمْثَالٌ	اَلْجَامِعَةِ	نَشِيدُ ٱلْأَنْشَادِ	إِشَعْيَاءَ	إِرْمِيَا	مَرَاثِي إِرْمِيَا	حِزْقِيَال	دَانِيآل	هُوشَع	يُوئِيل	عَامُوس	عُوبَدْيَا	يُونَان	مِيخَا	نَاحُوم	حَبَقُّوق	صَفَنْيَا	حَجَّي	زَكَريَّا	مَلَاخِي	مَتَّى	مَرْقُس	لُوقا	يوحنَّا	أعمال	رُوما	١ كورنثوس	٢ كورنثوس	غَلاطِيَّة	أفَسُس	فِيلِبِّي	كُولُوسِي	١ تسالونيكي	٢ تسالونيكي	١ تيموثاوس	٢ تيموثاوس	تِيطُس	فِلِيْمُون	عِبرانِيّين	يَعقُوب	١ بطرس	٢ بطرس	١ يوحنَّا	٢ يوحنَّا	٣ يوحنَّا	يَهُوذا	رُؤيا
Holy-Bible---Arabic---New-Arabic-Bible	تكوين	خرُوج	لاويّين	عَدَد	تَثنِيَة	يَشُوع	قُضاة	راعُوث	1 صَمُوئيل	2 صَمُوئيل	1 مُلُوك	2 مُلُوك	1 أخبار	2 أخبار	عَزْرا	نَحَمْيا	أسْتِير	أيُّوب	المَزامِير	الأمثال	الجامِعَة	نَشِيد الأنشاد	إشَعْياء	إرْمِيا	مَراثِي إرْمِي	حِزْقِيال	دانيال	هُوشَع	يُوئيل	عامُوس	عُوبَدْيا	يُونان	ميخا	ناحُوم	حَبَقُّوق	صَفَنْيا	حَجَّي	زَكَريّا	مَلاخِي	مَتَّى	مَرْقُس	لُوقا	يوحنَّا	أعمال	رُوما	1 كورنثوس	2 كورنثوس	غَلاطِيَّة	أفَسُس	فِيلِبِّي	كُولُوسِي	1 تسالونيكي	2 تسالونيكي	1 تيموثاوس	2 تيموثاوس	تِيطُس	فِلِيْمُون	عِبرانِيّين	يَعقُوب	1 بطرس	2 بطرس	1 يوحنَّا	2 يوحنَّا	3 يوحنَّا	يَهُوذا	رُؤيا
