# File Name: IVERSE.txt
# File Size: 891829      
# File Date: 12/23/2024 02:01:04
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	REF	TEXT
BIBLE	REFERENCE	TEXT
Holy-Bible---Ahirani---Gospels	JOH-003-016		
Holy-Bible---Ahirani---Gospels	GEN-003-024		
Holy-Bible---Ahirani---Gospels	LUK-023-034		
Holy-Bible---Ahirani---Gospels	REV-021-002		 
Holy-Bible---Ahirani---Gospels	HEB-011-008		
Holy-Bible---Ahirani---Gospels	EXO-013-017		
Holy-Bible---Ahirani---Gospels	MAR-010-045	मार्क 10:45	कारण मनुष्यना पोऱ्या पण सेवा करी लेवाले नही तर सेवा कराले अनी लोकसना पापनं मोल म्हणीन आपला जीव देवाले येल शे.”
Holy-Bible---Ahirani---Gospels	ROM-001-001		
Holy-Bible---Ahirani---Gospels	MAT-028-019	मत्तय 28:19	यामुये तुम्हीन जाईसन सर्वा राष्ट्रमाधला लोकसले शिष्य करा; त्यासले पिता, पुत्र अनं पवित्र आत्माना नावतीन बाप्तिस्मा द्या,
Holy-Bible---Amo---Amo-Bible	JOH-003-016	Yuhana 3:16	Bara Kutelle nati usu inyii ulele, amini na ni gono kinin kirum cas, vat nlenge na ayinna ninghe, na ama nanu ba, ama se ulai un saligang.
Holy-Bible---Amo---Amo-Bible	GEN-003-024		
Holy-Bible---Amo---Amo-Bible	LUK-023-034	Luka 23:34	Yesu woro, “Ucif, wesse nani alapi mine, bara na iyiru imon ile na idin sue ba.” I tunna idinja timo, I koso imon me.
Holy-Bible---Amo---Amo-Bible	REV-021-002	Uruyan Yuhana 21:2-3	Nnye kipin kilau, urshalima upese, uwa tolu unuzu kiti Kutelle, ikelle ngne fo gankisono bar ulesse. Nlanza liwui lidya unuzu kiti lisosin me nworo, “Yene! Kiti lisosin Kutelle di nan nanit aba nin so nan nginu. Iba so anit me Kutelle litime ba yitu ligowe, amere tutung ba yitu Kutelle mine.
Holy-Bible---Amo---Amo-Bible	HEB-011-008	Ibraniyawa 11:8	Nin nyinnu sa uyenuari wati Ibrahim ku, kubi na Kutelle was yicilaghe, adofino anya udu kiti kanga na aba seru nafo ugadu, ame tinna anya sa uyiru kiti kaa na aba du.
Holy-Bible---Amo---Amo-Bible	EXO-013-017		
Holy-Bible---Amo---Amo-Bible	MAR-010-045	Markos 10:45	Na gonon in Nit nadak asu tigoh ba, awa dak nafo kucin, anan da serze ulai me bara anit.
Holy-Bible---Amo---Amo-Bible	ROM-001-001	Roma 1:1	Paul kuchin Yisa Kirsti, na ina yichilagne gono kadura, inin yisagne bara katuwa in nliru nlai Kutelle.
Holy-Bible---Amo---Amo-Bible	MAT-028-019	Matiyu 28:19	Bara nani, can nanya nipinpin nyii idi su uwazi ise nono katwa. Ishintu nani nmyen nanya lissa Ncif, nin Saun, a Uruhu ulau.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	JOH-003-016	يوحنَّا ٣:١٦	لِأَنَّهُ هَكَذَا أَحَبَّ ٱللهُ ٱلْعَالَمَ حَتَّى بَذَلَ ٱبْنَهُ ٱلْوَحِيدَ، لِكَيْ لَا يَهْلِكَ كُلُّ مَنْ يُؤْمِنُ بِهِ، بَلْ تَكُونُ لَهُ ٱلْحَيَاةُ ٱلْأَبَدِيَّةُ.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	GEN-003-024	اَلتَّكْوِينُ ٣:٢٤	فَطَرَدَ ٱلْإِنْسَانَ، وَأَقَامَ شَرْقِيَّ جَنَّةِ عَدْنٍ ٱلْكَرُوبِيمَ، وَلَهِيبَ سَيْفٍ مُتَقَلِّبٍ لِحِرَاسَةِ طَرِيقِ شَجَرَةِ ٱلْحَيَاةِ.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	LUK-023-034	لُوقا ٢٣:٣٤	فَقَالَ يَسُوعُ: «يَا أَبَتَاهُ، ٱغْفِرْ لَهُمْ، لِأَنَّهُمْ لَا يَعْلَمُونَ مَاذَا يَفْعَلُونَ». وَإِذِ ٱقْتَسَمُوا ثِيَابَهُ ٱقْتَرَعُوا عَلَيْهَا.
