# File Name: SKIPPED.txt
# File Size: 1160274     
# File Date: 03/30/2021 19:33:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	TEXT
Holy-Bible---Albanian-Tosk---Albanian-Bible	064	3JO	001	014	por shpresoj të të shoh së shpejti dhe do të flasim gojarisht.
Holy-Bible---Albanian-Tosk---Albanian-Bible	066	REV	012	018	Dhe u ndala mbi rërën e detit.
Holy-Bible---Amo---Amo-Bible	041	MAR	009	046	
Holy-Bible---Amo---Amo-Bible	044	ACT	001	008	
Holy-Bible---Amo---Amo-Bible	064	3JO	001	014	Ndin caa inyene mune nin nizi, tima nin liru tiyenje atii.
Holy-Bible---Amo---Amo-Bible	066	REV	012	018	Ddragone uni wa yissin kitene licicin nbiyu kurawa.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	054	1TI	006	021	ٱلَّذِي إِذْ تَظَاهَرَ بِهِ قَوْمٌ زَاغُوا مِنْ جِهَةِ ٱلْإِيمَانِ.
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	064	3JO	001	014	وَلَكِنَّنِي أَرْجُو أَنْ أَرَاكَ عَنْ قَرِيبٍ فَنَتَكَلَّمَ فَمًا لِفَمٍ.
Holy-Bible---Arabic---New-Arabic-Bible	044	ACT	015	025	،
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	006	009	Եւ արդ, դուք այսպէ՛ս աղօթեցէք».
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	028	011	Երբ նրանք գնացին, ահա զինուորներից ոմանք քաղաք եկան ու
Holy-Bible---Armenian---Armenian-Bible-Eastern	043	JOH	006	051	Ես եմ կենդանի հացը, որ երկնքից է իջած.
Holy-Bible---Armenian---Armenian-Bible-Western	043	JOH	006	051	Ե՛ս եմ կենարար հացը՝ որ իջայ երկինքէն:
Holy-Bible---Assamese---Assamese-Bible	041	MAR	015	028	
Holy-Bible---Assamese---Assamese-Bible	044	ACT	015	034	
Holy-Bible---Assamese---Assamese-Bible	064	3JO	001	014	বৰং আশা কৰোঁ যে, আপোনাক অতি সোনকালে দেখিবলৈ পাম আৰু তেতিয়া মুখা-মুখি হৈ কথা-বতৰা পাতিম।
Holy-Bible---Assamese---Assamese-Bible	066	REV	012	018	তেতিয়া সেই ড্ৰেগন গৈ সমুদ্ৰৰ তীৰত থিয় হ’ল।
Holy-Bible---Azerbaijani---Azerbaijani-Bible	040	MAT	017	021	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	040	MAT	018	011	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	040	MAT	023	014	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	007	016	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	009	044	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	009	046	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	011	026	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	041	MAR	015	028	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	042	LUK	017	036	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	042	LUK	023	017	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	043	JOH	005	004	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	044	ACT	008	037	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	044	ACT	015	034	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	044	ACT	028	029	
Holy-Bible---Azerbaijani---Azerbaijani-Bible	045	ROM	016	024	
Holy-Bible---Bengali---Bengali-Bible	044	ACT	015	034	
Holy-Bible---Bengali---Bengali-Bible	064	3JO	001	014	আশাকরি, শীঘ্রই তোমাকে দেখব, তখন আমরা সামনা সামনি হয়ে কথাবার্তা বলব।
Holy-Bible---Bengali---Bengali-Bible	066	REV	012	018	তখন সেই বিরাটাকার সাপটি সমুদ্রের বালুকাময় কিনারে দাঁড়াল।
Holy-Bible---Bulgarian---Bulgarian-Bible	016	NEH	012	047	И в дните на Зоровавела и в дните на Неемия, целият Израил даваха определените за всеки ден дялове на певците и на вратарите;
Holy-Bible---Bulgarian---Bulgarian-Bible	018	JOB	011	020	А очите на нечестивите ще изтекат; Прибежище не ще има за тях;
Holy-Bible---Bulgarian---Bulgarian-Bible	038	ZEC	010	011	Като премине Той върху морето, Ще порази вълните на морето,
Holy-Bible---Bulgarian---Bulgarian-Bible	044	ACT	002	010	
Holy-Bible---Bulgarian---Bulgarian-Bible	044	ACT	002	020	
Holy-Bible---Bulgarian---Bulgarian-Bible	044	ACT	002	030	
Holy-Bible---Cebuano---Cebuano-Bible	040	MAT	018	011	-
Holy-Bible---Cebuano---Cebuano-Bible	045	ROM	016	024	-
Holy-Bible---Cebuano---Cebuano-Bible	064	3JO	001	014	Apan nagdahom ako sa pagpakigkita kanimo sa dili madugay, ug mag-atubangay kita sa pag-istoryahanay sa usag-usa.
Holy-Bible---Cebuano---Cebuano-Bible	066	REV	012	018	Unya ang dragon mitindog didto sa balas sa baybayon.
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible	064	3JO	001	014	nang hoi angqum palang tih hmang, tiah oephaih ka tawnh, to naah mikhmai kang tongah lok aram tih hmang.
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	066	REV	012	018	Tedae tuitunli kah laivin dongah sut pai.
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	064	3JO	001	014	Ahihang hai ngawl in hong mu tu in ki um khi hi, maitang kisi in i ki paupui tu hi.
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	066	REV	012	018	Pathian thupiak te a zui nupi nu i suan a tanglai te do tu in kuankhia hi.
Holy-Bible---Chin-Thado---Chongthu-Bible	030	AMO	007	017	
Holy-Bible---Chin-Thado---Chongthu-Bible	043	JOH	020	023	
Holy-Bible---Chin-Thado---Chongthu-Bible	045	ROM	003	011	
Holy-Bible---Chin-Thado---Chongthu-Bible	045	ROM	011	010	
Holy-Bible---Chin-Thado---Chongthu-Bible	046	1CO	011	026	
Holy-Bible---Chin-Thado---Chongthu-Bible	064	3JO	001	014	Ajeh chu nangma toh kimaitoakimutovahdingkakineminahi. Chuphat tengleh kimaitoaikihoulim ding ahi.
Holy-Bible---Chin-Thado---Chongthu-Bible	066	REV	012	018	Chujouvindragonchu twikhanglen pam’a chun adding in ahi.
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	064	3JO	001	014	但盼望快快地见你，我们就当面谈论。
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	066	REV	012	018	那时龙就站在海边的沙上。
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	064	3JO	001	014	但盼望快快地見你，我們就當面談論。
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	066	REV	012	018	那時龍就站在海邊的沙上。
Holy-Bible---Coptic---Coptic-Boharic-NT	041	MAR	009	044	
Holy-Bible---Coptic---Coptic-Boharic-NT	041	MAR	009	046	
Holy-Bible---Coptic---Coptic-Boharic-NT	042	LUK	017	036	
Holy-Bible---Coptic---Coptic-Boharic-NT	044	ACT	008	037	
Holy-Bible---Coptic---Coptic-Boharic-NT	044	ACT	028	029	
Holy-Bible---Coptic---Coptic-Boharic-NT	064	3JO	001	014	ϮⲈⲢϨⲈⲖⲠⲒⲤ ⲆⲈ ⲤⲀⲦⲞⲦ ⲈⲚⲀⲨ ⲈⲢⲞⲔ ⲞⲨⲞϨ ⲚⲦⲈⲚⲤⲀϪⲒ ⲚⲈⲘ ⲚⲈⲚⲈⲢⲎⲞⲨ ⲚⲢⲞ ⲞⲨⲂⲈ ⲢⲞ
Holy-Bible---Coptic---Coptic-Boharic-NT	066	REV	012	018	
Holy-Bible---Coptic---Coptic-NT	040	MAT	016	021	✠
Holy-Bible---Coptic---Coptic-NT	040	MAT	017	020	✠
Holy-Bible---Coptic---Coptic-NT	040	MAT	019	012	✠
Holy-Bible---Coptic---Coptic-NT	040	MAT	023	023	✠
Holy-Bible---Coptic---Coptic-NT	041	MAR	012	014	✠
Holy-Bible---Coptic---Coptic-NT	041	MAR	014	043	✠
Holy-Bible---Coptic---Coptic-NT	041	MAR	014	044	✠
Holy-Bible---Coptic---Coptic-NT	041	MAR	015	033	✠
Holy-Bible---Coptic---Coptic-NT	041	MAR	015	034	✠
Holy-Bible---Coptic---Coptic-NT	041	MAR	015	043	✠
Holy-Bible---Coptic---Coptic-NT	041	MAR	015	044	✠
Holy-Bible---Coptic---Coptic-NT	064	3JO	001	014	ϯⲉⲣϩⲉⲗⲡⲓⲥ ⲇⲉ ⲥⲁⲧⲟⲧ ⳿ⲉⲛⲁⲩ ⳿ⲉⲣⲟⲕ ⲟⲩⲟϩ ⳿ⲛⲧⲉⲛⲥⲁϫⲓ ⲛⲉⲙ ⲛⲉⲛⲉⲣⲏⲟⲩ ⳿ⲛⲣⲟ ⲟⲩⲃⲉ ⲣⲟ.
Holy-Bible---Croatian---Croatian-Bible	009	1SA	020	042	Zatim Jonatan reče Davidu: “Idi u miru! Što smo se obojica zakleli Jahvinim imenom, neka Jahve bude svjedok između mene i tebe, između moga potomstva i tvoga potomstva dovijeka!”
Holy-Bible---Croatian---Croatian-Bible	011	1KI	015	006	#
Holy-Bible---Croatian---Croatian-Bible	011	1KI	022	043	Išao je sasvim putem oca Ase, ne skrećući s njega, nego čineći što je pravo u očima Jahvinim.
Holy-Bible---Croatian---Croatian-Bible	013	1CH	012	004	Gibeonac Išmaja, junak među tridesetoricom i nad tridesetoricom,
Holy-Bible---Croatian---Croatian-Bible	019	PSA	003	001	Psalam. Davidov. Kad je David bježao pred sinom Abšalomom.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	004	001	Zborovođi. Uz žičana glazbala. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	005	001	Zborovođi. Uz frule. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	006	001	Zborovođi. Uz žičano glazbalo. U oktavi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	007	001	Tužaljka. Davidova. Ispjeva je Jahvi zbog Kuša Benjaminovca.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	008	001	Zborovođi. Po napjevu “Tijesci”. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	009	001	Zborovođi. Po napjevu “Umri za sina”. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	012	001	Zborovođi. U oktavi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	018	001	Učitelju zbora. Od Jahvina sluge Davida koji Jahvi ispjeva ovu pjesmu u onaj dan kad ga Jahve oslobodi iz ruku neprijatelja
Holy-Bible---Croatian---Croatian-Bible	019	PSA	019	001	Zborovođi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	020	001	Zborovođi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	021	001	Zborovođi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	022	001	Zborovođi. Po napjevu “Košuta u zoru”. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	030	001	Psalam. Pjesma za posvećenje Doma. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	031	001	Zborovođi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	034	001	Davidov. Kada se David pravio ludim pred Abimelekom, a on
Holy-Bible---Croatian---Croatian-Bible	019	PSA	036	001	Zborovođi. Od sluge Jahvina Davida.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	038	001	Psalam. Davidov. Za spomen.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	039	001	Zborovođi. Jedutunu. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	040	001	Zborovođi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	041	001	Zborovođi. Psalam. Davidov.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	042	001	Zborovođi. Poučna pjesma. Sinova Korahovih.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	044	001	Zborovođi. Sinova Korahovih. Poučna pjesma.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	045	001	Zborovođi. Po napjevu “Ljiljani”. Sinova Korahovih. Poučna pjesma. Svadbena pjesma.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	046	001	Zborovođi. Sinova Korahovih. Po napjevu “Djevice”. Pjesma.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	047	001	Zborovođi. Sinova Korahovih. Psalam.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	048	001	Pjesma. Psalam. Sinova Korahovih.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	049	001	Zborovođi. Sinova Korahovih. Psalam.
Holy-Bible---Croatian---Croatian-Bible	019	PSA	051	001	Zborovođi. Psalam. Davidov. Kad je k Davidu došao prorok Natan poslije njegova grijeha
Holy-Bible---Croatian---Croatian-Bible	019	PSA	052	001	Zborovođi. Poučna pjesma. Davidova. Kad je Edomac Doeg Šaulu javio: “David je ušao u kuću Abimelekovu.
