FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
AB-STEPBibleData				https://github.com/STEPBible/STEPBible-Data/archive/refs/heads/master.zip	AB-STEPBibleData.zip
Holy-Bible---Albanian-Tosk---Albanian-Bible				http://ebible.org/sword/zip/alsSHQ1994eb.zip	Holy-Bible---Albanian-Tosk---Albanian-Bible---Source-Edition.SWORD.zip
Holy-Bible---Albanian-Tosk---Albanian-Bible				http://ebible.org/epub/alsSHQ.epub	Holy-Bible---Albanian-Tosk---Albanian-Bible---Source-Edition.epub
Holy-Bible---Albanian-Tosk---Albanian-Bible				http://ebible.org/pdf/alsSHQ/alsSHQ_prt.pdf	Holy-Bible---Albanian-Tosk---Albanian-Bible---Source-Edition.pdf
Holy-Bible---Albanian-Tosk---Albanian-Bible				http://ebible.org/Scriptures/alsSHQ_vpl.zip	Holy-Bible---Albanian-Tosk---Albanian-Bible---Source-Edition.VPL.zip
Holy-Bible---Amo---Amo-Bible				http://ebible.org/sword/zip/amo2020eb.zip	Holy-Bible---Amo---Amo-Bible---Source-Edition.SWORD.zip
Holy-Bible---Amo---Amo-Bible				http://ebible.org/epub/amo.epub	Holy-Bible---Amo---Amo-Bible---Source-Edition.epub
Holy-Bible---Amo---Amo-Bible				https://ebible.org/pdf/amo/amo_prt.pdf	Holy-Bible---Amo---Amo-Bible---Source-Edition.pdf
Holy-Bible---Amo---Amo-Bible				http://ebible.org/Scriptures/amo_vpl.zip	Holy-Bible---Amo---Amo-Bible---Source-Edition.VPL.zip
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible				http://ebible.org/sword/zip/arbVDeb.zip	Holy-Bible---Arabic---Arabic-Van-Dyck-Bible---Source-Edition.SWORD.zip
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible				http://ebible.org/epub/arb-vd.epub	Holy-Bible---Arabic---Arabic-Van-Dyck-Bible---Source-Edition.epub
