# File Name: TESTWORDS.txt
# File Size: 173478      
# File Date: 07/19/2023 00:10:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2023
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	NOSPACE	NOETERNAL	ETERNAL	NOHELL	YESHELL	SHEOL	GEHENNA	HADES	TARTARUS	ABYSS	LOF	END
Holy-Bible---Albanian-Tosk---Albanian-Bible	0	GROUP=0/0/0	shekuj të shekujve=22/21/1, amshim=3/1/2, amshuar=6/6/0, amshueshme=1/1/0, gjithmon=1/1/0, pasosur=2/2/0, gjithmonë=22/1/21, përjetësi=18/2/16, përgjithmonë=8/4/4, përjetshëm=84/11/73, përjetshme=104/51/53, përjetë=226/25/201, botë=52/5/47, bote=18/7/11, botën=52/3/49, botës=66/13/53, bota=55/3/52, kohët=22/1/21, kohe=61/2/59, kohërash=1/1/0, kohë=252/8/244, kohëve=9/1/8, epokët=1/1/0, epokë=1/1/0, epokat=3/2/1, shekulli=1/1/0, jetëve=2/1/1, gjithësinë=1/1/0, jetë të jetës=3/3/0, GROUP=1097/180/917	ferr=4/4/0, ferrit=1/1/0, GROUP=5/5/0	ferr=4/4/0, ferrit=1/1/0, GROUP=5/5/0	Sheol=63/63/0, Sheolit=16/16/0, Sheoli=14/14/0, Sheolin=4/4/0, në varr=17/3/14, GROUP=114/100/14	Gehenës=1/1/0, Gehenën=2/2/0, Gehena=7/7/0, Gehenas=2/2/0, GROUP=12/12/0	ferr=4/4/0, ferrit=1/1/0, Hades=2/2/0, Hadesi=3/3/0, GROUP=10/10/0	tartar=1/1/0, GROUP=1/1/0	humnerë=9/3/6, humnerës=16/4/12, humnera=12/2/10, GROUP=37/9/28	liqenin e zjarrtë=1/1/0, liqenin që digjet me zjarr=1/1/0, GROUP=2/2/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Amo---Amo-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Arabic---New-Arabic-Bible	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Arapaho---Arapaho-Luke	0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Armenian---Armenian-Bible-Eastern	0	GROUP=0/0/0	GROUP=0/0/0	դժոխք=2/2/0, դժոխքի=1/1/0, դժոխքում=1/1/0, դժոխքին=0/0/0, դժոխքը=0/0/0, GROUP=4/4/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Armenian---Armenian-Bible-Western	0	GROUP=0/0/0	GROUP=0/0/0	դժոխք=2/2/0, դժոխքի=0/0/0, դժոխքում=0/0/0, դժոխքին=3/3/0, դժոխքը=5/5/0, GROUP=10/10/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Assamese---Assamese-Bible	0	GROUP=0/0/0	GROUP=0/0/0	নৰক=0/0/0, GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
Holy-Bible---Azerbaijani---Azerbaijani-Bible	0	GROUP=0/0/0	GROUP=0/0/0	cəhənnəm=2/2/0, GROUP=2/2/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	GROUP=0/0/0	NULL=0/0/0, GROUP=0/0/0
