# File Name: UNTRANSLATECOUNT.txt
# File Size: 22098       
# File Date: 10/18/2022 09:56:37
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2022
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Albanian-Tosk---Albanian-Bible	5	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Amo---Amo-Bible	0	0	0	12	11	9	1	5	94	64	10	2	0	1	0	208	201	200	0	63	0	1
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Arabic---New-Arabic-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Aramaic---Aramaic-NT-Peshitta	0	0	0	12	11	9	1	5	94	64	10	2	0	1	0	208	201	200	0	63	0	1
Holy-Bible---Arapaho---Arapaho-Luke	0	0	0	1	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	249	0	0
Holy-Bible---Armenian---Armenian-Bible-Eastern	0	0	4	11	4	1	0	0	24	24	10	0	0	0	0	78	73	73	2	188	0	0
Holy-Bible---Armenian---Armenian-Bible-Western	0	0	0	12	11	9	1	5	94	64	10	2	0	1	0	208	201	200	0	63	0	1
Holy-Bible---Assamese---Assamese-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Azerbaijani---Azerbaijani-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	2	0	271	263	261	2	0	0	2
Holy-Bible---Basque---Basque-NT	0	0	0	12	11	9	1	5	94	64	10	2	0	1	0	208	201	200	0	63	0	1
Holy-Bible---Beaver---Beaver-Mark	0	0	0	3	0	0	0	0	2	1	4	0	0	0	0	10	8	8	0	255	0	0
Holy-Bible---Bengali---Bengali-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
