BIBLE	NEW	NOSPACE	NOETERNAL	ETERNAL	NOHELL	YESHELL	SHEOL	GEHENNA	HADES	TARTARUS	ABYSS	LOF	END
Holy-Bible---Albanian-Tosk---Albanian-Bible		0		shekuj të shekujve,amshim,amshuar,amshueshme,gjithmon,pasosur,gjithmonë,përjetësi,përgjithmonë,përjetshëm,përjetshme,përjetë,botë,bote,botën,botës,bota,kohët,kohe,kohërash,kohë,kohëve,epokët,epokë,epokat,shekulli,,jetëve,gjithësinë,jetë të jetës	ferr,ferrit	ferr,ferrit	Sheol,Sheolit,Sheoli,Sheolin,në varr	Gehenës,Gehenën,Gehena,Gehenas	ferr,ferrit,Hades,Hadesi	tartar	humnerë,humnerës,humnera	liqenin e zjarrtë,liqenin që digjet me zjarr	NULL
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible		0											NULL
Holy-Bible---Aramaic---Aramaic-NT-Peshitta		0											NULL
Holy-Bible---Arapaho---Arapaho-Luke		0											NULL
Holy-Bible---Armenian---Armenian-Bible-Eastern		0			դժոխք,դժոխքի,դժոխքում,դժոխքին,դժոխքը								NULL
Holy-Bible---Armenian---Armenian-Bible-Western		0			դժոխք,դժոխքի,դժոխքում,դժոխքին,դժոխքը								NULL
Holy-Bible---Assamese---Assamese-Bible		0			নৰক								NULL
Holy-Bible---Azerbaijani---Azerbaijani-Bible		0			cəhənnəm								NULL
Holy-Bible---Basque---Basque-NT		0			iffernurano								NULL
Holy-Bible---Beaver---Beaver-Mark		0											NULL
Holy-Bible---Bengali---Bengali-Bible		0			জাহান্নাম								NULL
Holy-Bible---Breton---Breton-Gospels		0											NULL
Holy-Bible---Calo---Calo-Bible	YES	0											NULL
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms		0											NULL
Holy-Bible---Cherokee---Cherokee-New-Testament		0											NULL
Holy-Bible---Chinese---Chinese-Union-Version-Simplified		1		永,世	地狱,阴间,塔耳塔洛斯 深渊,无底坑,火湖	地狱,阴间,欣嫩子谷,塔耳塔洛斯 深渊,无底坑,火湖	地狱,阴间	地狱,欣嫩子谷	地狱,阴间	地狱,塔耳塔洛斯 深渊	无底坑	火湖	NULL
Holy-Bible---Chinese---Chinese-Union-Version-Traditional		1		永,世	地獄,陰間,塔耳塔洛斯 深淵,無底坑,火湖	地獄,陰間,欣嫩子穀,塔耳塔洛斯 深淵,無底坑,火湖	地獄,陰間	地獄,欣嫩子穀	地獄,陰間	地獄,塔耳塔洛斯 深淵	無底坑	火湖	NULL
Holy-Bible---Coptic---Coptic-Boharic-NT		0											NULL
Holy-Bible---Coptic---Coptic-NT		0											NULL
Holy-Bible---Croatian---Croatian-Bible		0			paklena,paklu								NULL
Holy-Bible---Czech---Czech-Bible-Kralicka		0		věčnost,věčného,věčný,věčných,věčná,věčnému,věčným,věčnou,věčné,věky,věku,věka,věků,věkové,světě,světa,světu,svět	pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo	zatracení,pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo	zatracení,pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo,hrobu,hrobě,hrob,Odkryta,smrti,smrt,zahynutí,zakopali	zatracení,pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo	zatracení,pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo,hrobu,hrobě,hrob,Odkryta,smrti,smrt,zahynutí,zakopali	žaláře	propasti	jezera ohnivého, jezera ohně,jezeře, kteréž hoří ohněm	NULL
Holy-Bible---Danish---Danish-Bible					helvede,helvedes								NULL
Holy-Bible---Dutch---Canisiusvertaling		0											NULL
Holy-Bible---Dutch---Statenvertaling		0											NULL
Holy-Bible---English---A-Conservative-Version	YES	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Aionian-Bible		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---American-Standard-Version-1901		0	eternity,eternal,forever,everlasting,for ever and ever,for every and ever	eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Bible-in-Basic-English		0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Brenton-English-Septuagint		0	eternity,eternal,forever,everlasting,for ever and ever,for every and ever	eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---British-English-Septuagint-2012		0	eternity,eternal,forever,everlasting,for ever and ever,for every and ever	eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Catholic-Public-Domain	YES	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
