BIBLE	NEW	NOTE	PACK	SHORT	NAME	NAMEENGLISH	LANGUAGE	LANGUAGEENGLISH	RTL	LANGUAGESTYLE	LANGUAGECSS	LANGUAGECODE	LANGUAGECODEISO	LANGUAGESPELL	NOPRO	ABCOPYRIGHT	COPYRIGHT	EXTENSION	WARNING	TRANSLATOR	SOURCE	YEAR	DESCRIPTION	SOURCEDOMAIN	SOURCELINK	SOURCELINKEXTRA	DOWNLOAD	AMAZON	AMAZONNT	AMAZONJOHN	KDP	KDPNT	KDPJOHN	LULU	LULUNT	LULUHARD	LULUJOHN	LULUX	LULUNTX	LULUHARDX	LULUJOHNX	BUYOTHER
Holy-Bible---Ahirani---Gospels	Y136			AHI	प्रेम संदेश	Ahirani Gospels	अहिराणी‎	Ahirani		font-hindi.css	font-hindi	ahr				Creative Commons Attribution 4.0 International, 2018-2025	Creative Commons Attribution 4.0			The Word for the World International	The Word for the World International	2020		eBible.org	https://ebible.org/details.php?id=ahr			NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Holy-Bible---Amo---Amo-Bible				AMO	Amo Bible	Amo Bible	Timap	Amo				amo				Creative Commons Attribution ShareAlike 4.0 International, 2018-2025	Creative Commons Attribution ShareAlike 4.0			Door43 World Missions Community, AFenlason, et al	Door43 World Missions Community, AFenlason, et al	2020		eBible.org	https://ebible.org/details.php?id=amo			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-amo-bible/paperback/product-8mz4j5.html	NULL	NULL	NULL	8mz4j5	NULL	NULL	NULL	NULL
Holy-Bible---Arabic---Arabic-Van-Dyck-Bible		RTL	2	ARB	الكتاب المقدس باللغة العربية، فان دايك	Arabic Van Dyck Bible	العربية	Arabic	rtl	font-arabic.css	font-arabic	arb	ar	ar		Creative Commons Attribution 4.0 International, 2018-2025	Public Domain			Eli Smith / Cornelius Van Alen Van Dyck / Syriac Mission	Eli Smith, Cornelius Van Alen Van Dyck, and Syriac Mission	1865		eBible.org	https://ebible.org/details.php?id=arb-vd			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-arabic-van-dyck-bible/paperback/product-5q4679.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-arabic-van-dyck-bible-new-testament/paperback/product-wg5ke8.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-arabic-van-dyck-bible/hardcover/product-j25wzg.html	NULL	5q4679	wg5ke8	j25wzg	NULL	NULL
Holy-Bible---Arabic---New-Arabic-Bible		RTL	1	ARN	كتاب الحياة	New Arabic Version	العربية	Arabic	rtl	font-arabic.css	font-arabic	arb	ar	ar		Creative Commons Attribution ShareAlike 4.0 International, 2018-2025	Creative Commons Attribution ShareAlike 4.0			International Bible Society	International Bible Society	1988, 1997		eBible.org	https://ebible.org/details.php?id=arbnav			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-new-arabic-version/paperback/product-p4dg7v.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-new-arabic-version-new-testament/paperback/product-zn5792.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-new-arabic-version/hardcover/product-gznqqg.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-new-arabic-version-gospel-primer/paperback/product-rm86pqz.html	p4dg7v	zn5792	gznqqg	rm86pqz	NULL
Holy-Bible---Aramaic---Syriac-Peshitta	Y136	RTL		SPE	ܦܫܝܛܬܐ	Aramaic Peshitta New Testament	ܦܫܝܛܬܐ	Aramaic	rtl	font-aramaic.css	font-aramaic	syr				Creative Commons Attribution 4.0 International, 2018-2025	Public Domain			John Richards	John Richards	1905		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=Peshitta			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aramaic-peshitta-new-testament/paperback/product-eqe4w5.html	NULL	NULL	NULL	eqe4w5	NULL	NULL	NULL	NULL
Holy-Bible---Arapaho---Arapaho-Luke				ARL	Hethadenee waunauyaunee vadan Luke Vanenāna	Arapaho Luke	Arapaho	Arapaho				arp				Creative Commons Attribution 4.0 International, 2018-2025	Public Domain			Michael White Hawk / John Roberts	Michael White Hawk and John Roberts	1903		eBible.org	https://ebible.org/details.php?id=arp			1975924266	NULL	NULL	6YYQFNYBSTJ	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-arapaho-luke/paperback/product-1vgmp866.html	NULL	NULL	NULL	1vgmp866	NULL	NULL	NULL	NULL
Holy-Bible---Armenian---Armenian-Bible-Eastern				ARE	Արեւելահայերեն Աստվածաշունչ	Eastern Armenian Bible	Արեւելահայերեն	Armenian, Eastern		font-armenian.css	font-armenian	hye	hy	hy		Creative Commons Attribution 4.0 International, 2018-2025	Public Domain			Translator unknown / Contributor=Crosswire.org	Translator unknown			Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=ArmEastern			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-eastern-armenian-bible/paperback/product-1qkgpzye.html	NULL	NULL	NULL	1qkgpzye	NULL	NULL	NULL	NULL
Holy-Bible---Armenian---Armenian-Bible-Western				ARW	Արեւմտահայերեն Աստվածաշունչ	Western Armenian New Testament 1853	Արեւմտահայերեն	Armenian, Western		font-armenian.css	font-armenian	hye	hy	hy		Creative Commons Attribution 4.0 International, 2018-2025	Public Domain			Translator unknown / Contributor=Crosswire.org	Translator unknown	1853		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=ArmWestern			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-western-armenian-new-testament/paperback/product-1dgdvnyj.html	NULL	NULL	NULL	1dgdvnyj	NULL	NULL	NULL	NULL
Holy-Bible---Assamese---Assamese-Bible		HIN		ASM	অসমীয়া বাইবেল	Assamese Bible	অসমীয়া	Assamese, Standard		font-bengali.css	font-bengali	asm	as			Creative Commons Attribution ShareAlike 4.0 International, 2018-2025	Creative Commons Attribution ShareAlike 4.0			Bridge Connectivity Solutions	Bridge Connectivity Solutions	2017, 2018		eBible.org	https://ebible.org/details.php?id=asmfb			1729730973	172973099X	NULL	4Z5452KRMK3	EDJMDAQWA9J	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-assamese-bible/paperback/product-44v988.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-assamese-bible-new-testament/paperback/product-nnd7jv.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-assamese-bible/hardcover/product-8mz6jn.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-assamese-bible-gospel-primer/paperback/product-p679vzq.html	44v988	nnd7jv	8mz6jn	p679vzq	NULL
Holy-Bible---Azerbaijani---Azerbaijani-Bible				AZB	Azərbaycan dilində Müqəddəs Kitab	Azerbaijani Bible	Azeri	Azerbaijani, South				azb	az	az		Creative Commons Attribution NoDerivatives NonCommercial 4.0, 2018-2025	Creative Commons Attribution NoDerivatives Noncommercial 4.0	Non-profit commercial sales granted to Nainoia, Inc on 12/21/2019		Bible Society of Azerbaijan / Institute for Bible Translation	Bible Society of Azerbaijan and Institute for Bible Translation	2008		eBible.org	https://ebible.org/details.php?id=azb			1729731015	1729731031	NULL	CRR1CCXTVAA	8PFQDQGXN00	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-azerbaijani-bible/paperback/product-1mmzp446.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-azerbaijani-bible-new-testament/paperback/product-1rzrpggq.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-azerbaijani-bible/hardcover/product-17687g96.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-azerbaijani-bible-gospel-primer/paperback/product-gj2y7ww.html	1mmzp446	1rzrpggq	17687g96	gj2y7ww	NULL
