Variant manuscript abbreviations in tagged texts, but undefined
===


FIX_REF	Greek	ref='41_Mat.012.029'	word='διαρπάσει'	morph='V-FAI-3S'	strongs='G1283'	variants='x=διαρπάσῃ=G1283=V-AAS-3S;'	vpart='x=διαρπάσῃ=G1283=V-AAS-3S'	missing code='x'
FIX_REF	Greek	ref='41_Mat.017.015'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='41_Mat.017.015'	word='λέγων'	morph='V-PAP-NSM'	strongs='G3004'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='41_Mat.020.005'	word='οἱ'	morph='T-NPM'	strongs='G3588'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='41_Mat.020.005'	word='δὲ'	morph='CONJ'	strongs='G1161'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='41_Mat.020.005'	word='ἀπῆλθον'	morph='V-2AAI-3P'	strongs='G565'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='42_Mrk.003.020'	word='Καὶ'	morph='CONJ'	strongs='G2532'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='42_Mrk.003.020'	word='ἔρχεται'	morph='V-PNI-3S'	strongs='G2064'	variants='r=<; T=ἔρχονται=G2064=V-PNI-3P;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='42_Mrk.003.020'	word='εἰς'	morph='PREP'	strongs='G1519'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='42_Mrk.003.020'	word='οἶκον'	morph='N-ASM'	strongs='G3624'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='42_Mrk.012.014'	word='δῶμεν'	morph='V-2AAS-1P'	strongs='G1325'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='42_Mrk.012.014'	word='ἢ'	morph='CONJ'	strongs='G2228'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='42_Mrk.012.014'	word='μὴ'	morph='PRT-N'	strongs='G3361'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='42_Mrk.012.014'	word='δῶμεν'	morph='V-2AAS-1P'	strongs='G1325'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.001.073'	word='τοῦ'	morph='T-GSN'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.001.073'	word='δοῦναι'	morph='V-2AAN'	strongs='G1325'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.001.073'	word='ἡμῖν'	morph='P-1DP'	strongs='G1473'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='οἳ'	morph='R-NPM'	strongs='G3739'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='ἦλθον'	morph='V-2AAI-3P'	strongs='G2064'	variants='r=<; W=ἦλθαν=G2064=V-2AAI-3P;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='ἀκοῦσαι'	morph='V-AAN'	strongs='G191'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='αὐτοῦ'	morph='P-GSM'	strongs='G846'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='ἰαθῆναι'	morph='V-APN'	strongs='G2390'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='ἀπὸ'	morph='PREP'	strongs='G575'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='τῶν'	morph='T-GPF'	strongs='G3588'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='νόσων'	morph='N-GPF'	strongs='G3554'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.006.018'	word='αὐτῶν'	morph='P-GPM'	strongs='G846'	variants='r=<;'	vpart='r=<'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='καὶ'	morph='CONJ'	strongs='G2532'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='προσκαλεσάμενος'	morph='V-ADP-NSM'	strongs='G4341'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='δύο'	morph='A-APM-NUI'	strongs='G1417'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='τινὰς'	morph='X-APM'	strongs='G5100'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='τῶν'	morph='T-GPM'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='μαθητῶν'	morph='N-GPM'	strongs='G3101'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='αὐτοῦ'	morph='P-GSM'	strongs='G846'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='ὁ'	morph='T-NSM'	strongs='G3588'	variants='r=>;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='43_Luk.007.018'	word='Ἰωάννης'	morph='N-NSM-P'	strongs='G2491'	variants='r=>; W=Ἰωάνης=G2491=N-NSM-P;'	vpart='r=>'	missing code='r'
FIX_REF	Greek	ref='45_Act.002.011'	word='Ἰουδαῖοί'	morph='A-NPM-PG'	strongs='G2453'	variants='r=<;'	vpart='r=<'	missing code='r'
