Strongs numbers in lexicon, but not in tagged texts, SEEMS LIKE TOO MANY!
===

G33	ἄγε	to lead	
G39	ἅγιον	holy	
G149	αἰσχρόν	shameful	
G158	αἴτιον	reason for charge	
G168	ἀκαθάρτης	uncleanness	
G183	ἀκατάσχετος	uncontrollable	
G300	Ἀμών	Amon	
G334	ἀνάθημα	a vow offering	
G348	ἀνακόπτω	to restrain	
G445	ἀνθυπατεύω	to be proconsul	
G471	ἀντεῖπον	to contradict	
G481	ἀντικρύ	opposite	
G534	ἀπαρτί	henceforth	
G542	ἀπεῖδον	to fix one's eyes	
G566	ἀπέχει	to receive/be far	
G567	ἀπέχομαι	to receive/be far	
G637	ἀποπλύνω	to wash off	
G680	ἅπτω	to touch	
G715	ἄρκτος	bear	
G756	ἄρχομαι	to rule/begin	
G821	ἀτιμόω	to disgrace	
G848	αὑτοῦ	him/herself	
G925	βαρύνω	to weigh down	
G962	Βηθαβαρά	Bethabara	
G1083	γέννησις	birth	
G1094	γῆρας	old age	
G1177	δεκαδύο	twelve	
G1181	δεκάτη	tenth	
G1196	δεσμέω	to shackle	
G1222	δήπου	surely	
G1232	διαγνωρίζω	to report	
G1275	διαπαντός	always	
G1302	διατί	why?	
G1306	διαυγάζω	to shine through	
G1307	διαφανής	transparent	
G1399	δούλη	female slave	
G1400	δοῦλον	slave	
G1418	δυσ-	hard	
G1488	εἶ	you are	
G1489	εἴγε	if indeed/otherwise	
G1490	εἰ δὲ μή(γε)	but if not	
G1498	εἴην	may be	
G1499	εἰ καί	if also	
G1507	εἱλίσσω	to roll up	
G1508	εἰ μή	except	
G1509	εἰ μή τι	except what	
G1511	εἶναι	to exist	
G1512	εἴπερ	if so/since	
G1513	εἴπως	if somehow	
G1526	εἰσί	they are	
G1527	εἷς καθ᾽ εἷς	one by one	
G1536	εἴ τις	if any	
G1547	ἐκγαμίζω	to marry	
G1548	ἐκγαμίσκω	to give in marriage	
G1647	ἐλαχιστότερος	least	
G1691	ἐμέ	me	
G1698	ἐμοί	I	
G1749	ἔνεδρον	hinderance	
G1827	ἐξελέγχω	to convict	
G1897	ἐπείπερ	since	
G1916	ἐπιβοάω	to cry out	
G1970	ἐπιπνίγω	to choke	
G1999	ἐπισύστασις, ἐπίστασις	insurrection	
G2046	ἐρέω, ἐρῶ	to speak	
G2067	ἔσθησις	clothing	
G2070	ἐσμέν	we are	
G2071	ἔσομαι	will be	
G2075	ἐστέ	you are	
G2076	ἐστί	he is	
G2077	ἔστω	to be	
G2179	Ἐφεσῖνος	Ephesian	
G2208	ζηλωτής	Zealot	
G2229	ἦ	surely	
G2248	ἡμᾶς	us	
G2249	ἡμεῖς	we	
G2252	ἤμην	I was	
G2254	ἡμῖν	to us	
G2257	ἡμῶν	of us	
G2258	ἦν	was	
G2277	ἤτω	let him/it be	
G2442	ἱμείρω	to desire	
G2444	ἱνατί	why?	
G2467	ἴσημι	to know	
G2468	ἴσθι	you should be	
G2499	Ἰωσή	Jose	
G2504	κἀγώ	and I	
G2534	καίγε	even/even though	
G2543	καίτοι	and yet/although	
G2544	καίτοιγε	and yet/although	
G2546	κἀκεῖ	and there	
G2547	κἀκεῖθεν	and from there	
G2548	κἀκεῖνος	and that one	
G2568	Καλοὶ Λιμένες	Fair Havens	
G2579	κἄν	and/even if	
G2601	καταβιβάζω	to bring down	
G2640	κατάλειμμα	remnant	
G2651	καταμόνας	alone	
G2735	κατόρθωμα	accomplishments	
G2909	κρείττων	stronger	
G3018	Λευΐς	Levi	
G3112	μακράν	far	
G3165	μέ	me	
G3166	μεγαλαυχέω	to boast	
G3176	μέγιστος	greatest	
G3181	μεθόριος	boundary	
G3185	μεῖζον	greater	
G3186	μειζότερος	greatest	
G3187	μείζων	greater	
G3362	ἐὰν μή	unless	
G3363	ἵνα μή	lest/so that. not	
G3364	οὐ μή	never	
G3378	μὴ οὐκ	isn't it?	
G3379	μήποτε	lest	
G3381	μήπως	so that	
G3386	γε	how much more	
G3387	μήτις	unless/any	
G3391	μία	first	
G3397	μικρόν	little	
G3415	μνάομαι	to remember	
G3427	μοί	to me	
G3450	μοῦ	of me	
G3459	μυλών	millhouse	
G3496	Νεάπολις	Neapolis	
G3535	Νινευΐ	Nineveh	
G3569	τανῦν	now	
G3603	ὅ ἐστι	which is	
G3620	οἰκοδομία	edification	
G3626	οἰκουρός	busy at home	
G3698	ὁπότε	when(-ever)	
G3721	ὄρθριος	morning	
G3746	ὅσπερ	who	
G3755	ὅτου	until	
G3765	οὐκέτι	not any more	
G3801	ο ων και ο ην και ο ερχομενος	was, is, will be	
G3827	πάμπολυς	great	
G3836	πανταχόθεν	from all sides	
G3872	παρακαταθήκη	deposit	
G4054	περισσότερον	more abundantly	
G4113	πλατεῖα	wide street/road	
G4162	ποίησις	doing	
G4191	πονηρότερος	more evil	
G4208	πορρωτέρω	farther	
G4235	πρᾶος	gentle	
G4236	πραότης	gentleness	
G4275	προεῖδον	to foresee	
G4315	προσάββατον	Friday	
G4331	προσεγγίζω	to approach	
G4384	προτάσσω	to predetermine	
G4386	πρότερον	before	
G4412	πρῶτον	first	
G4452	πω	somehow	
G4483	ῥέω, ἐρέω	to utter	
G4495	ῥιπτέω	to throw off	
G4555	σάρδινος	gem	
G4566	Σατάν	Satan	
G4571	σέ	you	
G4671	σοί	you	
G4675	σοῦ	you	
G4706	σπουδαιότερον	more diligently	
G4707	σπουδαιότερος	more diligent	
G4839	συμπαραμένω	to continue	
G4877	συνάντησις	meeting	
G4900	συνελαύνω	to urge	
G5023	ταῦτα	this	
G5024	ταὐτά	thus	
G5025	ταύταις	hence	
G5026	ταύτῃ	her	
G5033	τάχιστα	most quickly	
G5120	τοῦ	his	
G5123	τουτέστι	that is	
G5124	τοῦτο	that	
G5125	τούτοις	to these	
G5126	τοῦτον	this	
G5127	τούτου	of this	
G5128	τούτους	these	
G5129	τούτῳ	to this	
G5130	τούτων	of these	
G5182	τυρβάζω	to upset	
G5209	ὑμᾶς	you	
G5210	ὑμεῖς	you	
G5213	ὑμῖν	to you	
G5216	ὑμῶν	of you	
G5224	ὑπάρχοντα	possession	
G5305	ὕστερον	later	
G5332	φαρμακεύς	sorcerer	
G5391	φιλόφρων	friendly	
G5414	φόρτος	cargo	
G5516	χξϛ	666	
G5600	ὦ	may be	
G5607	ὤν	being	
G6004	ἀλλαχοῦ	elsewhere	
G6014	δεκαοκτώ	eighteen	
G6019	δισμυριάς	two-myriad	
G6023	ἐγκακέω	be discouraged	
G6025	εἵνεκεν	because	
G6039	εὐθύμως	cheerfully	
G6049	κατακύπτω	to stoop	
G6063	οἶδα	to know	
G6066	ὀλιγοπιστία	little faith	
G6087	ὑπερεκπερισσοῦ	superabundantly	
G6088	ὑπερλίαν	greatly	
G6093	σιρός	pit	
G6096	ἀποπληρόω	to satisfy	
G6097	θρύπτω	to break	
G6098	καταπίμπρημι	burnt	
G6099	ξαίνω	to comb	
G6100	ἀβασίλευτος	independent	
G6101	ἄβατος	impassable	
G6102	ἀβατόω	to make impassable	
G6103	ἀβοήθητος	incurable	
G6104	ἀβουλία	thoughtlessness	
G6105	ἅβρα	handmaiden	
G6106	ἀβροχία	drought	
G6107	ἀγαθόω	to do good	
G6108	ἀγαθύνω	be better	
G6109	ἀγαθῶς	fine	
G6110	ἀγαλλίαμα	a leap for joy	
G6111	ἄγαλμα	a statue	
G6112	αγανώθ	cups	
G6113	ἀγάπησις	affection	
G6114	ἁγίασμα	sanctification	
G6115	ἁγιαστήριον	sanctuary	
G6116	ἀγκαλίς	an arm	
G6117	ἀγκύλη	a loop	
G6118	ἀγκών	an angle	
G6119	ἀγκωνίσκος	a joint	
G6120	ἅγνισμα	purification	
G6121	ἄγνος	a chaste tree	
G6122	ἄγονος	barren	
G6123	ἀγορασμός	a purchase	
G6124	ἀγριαίνω	be wild	
G6125	ἀγριοβάλανος	holm oak	
G6126	ἀγριομυρίκη	tamarisk	
G6127	ἄγροικος	rugged	
G6128	ἄγρωστις	wild grass	
G6129	ἀγχιστεία	right of inheritance	
G6130	ἀγχιστεύς	a relative	
G6131	ἀγχιστεύω	to be kin	
G6132	ἄγχω	to squeeze	
G6133	ἀδαμάντινος	adamantine	
G6134	ἀδάμας	adamant	
G6135	Ἄδαρ	Adar	
G6136	ἄδειπνος	supperless	
G6137	ἀδελφιδός	a kinsman	
G6138	ἀδιάλυτος	reinforced	
G6139	ἀδολεσχέω	to meditate	
G6140	ἀδολεσχία	meditation	
G6141	ἀδοξέω	be despised	
G6142	ἁδρός	stout	
G6143	ἁδρύνω	to mature	
G6144	ἀδυναμία	powerlessness	
G6145	ἀέναος	everlasting	
G6146	ἀεργός	idle	
G6147	ἀηδία	rancor	
G6148	Αθανιν	Athanim	
G6149	ἀθεσία	rebellion	
G6150	ἀθέτημα	a disregarding	
G6152	ἀθυμία	depression	
G6153	ἄθυτος	unfit	
G6154	ἀθῳόω	to acquit	
G6155	αιδέδ	acclamation	
G6156	αἰδέομαι	to stand in awe	
G6157	αἰδοῖος	genitals	
G6158	αἰθάλη	soot	
G6159	αἴθριος	open air	
G6160	αιλ	a portal	
G6161	αιλάμ	porch	
G6162	αιλαμμών	pediment	
G6163	αἱμωδιάω	to have tooth-chills	
G6164	αἰνετός	praiseworthy	
G6165	αἴνη	praise	
G6166	αἰνιγματιστής	enigma speaker	
G6167	αἴξ	a goat	
G6168	αἰπόλιον	a flock of goats	
G6169	αἰπόλος	a herder	
G6170	αἱρετός	preferred	
G6171	αἰσθητικός	sensitive	
G6172	αἰσχρῶς	disgracefully	
G6173	αἴτησις	requesting	
G6174	αἰτιάομαι	to blame	
G6175	αἰτίωμα	accusation	
G6176	αἰχμαλωτίς	a captive	
G6177	ἀκακία	innocence	
G6178	ἄκαν	a thorn	
G6179	ἀκάρδιος	heartless	
G6180	ἀκατάποτος	impotable	
G6181	ἀκατασκεύαστος	unready	
G6182	ἀκατέργαστος	unfinished	
G6183	ἄκαυστος	inextinguishable	
G6184	ἀκηδία	indifference	
G6185	ἀκηδιάω	be discouraged	
G6186	ἀκιδωτός	pointed	
G6187	ἀκίνητος	fixed	
G6188	ἀκίς	a point	
G6189	ἄκλητος	uncalled	
G6190	ἀκμή	at this moment	
G6191	ἄκμων	anvil	
G6192	ἀκόλαστος	unrestrained	
G6193	ἀκονάω	to sharpen	
G6194	ἀκοντίζω	to shoot	
G6195	ἀκοντιστής	a shooter	
G6196	ἄκοσμος	unbecoming	
G6197	ἀκουσιάζομαι	to act unintentionally	
G6198	ἀκούσιος	unintentional	
G6199	ἀκουσίως	unintentionally	
G6200	ἀκουστός	audible	
G6201	ἀκουτίζω	to cause to hear	
G6202	ἄκρα	Akra	
G6203	ἀκριβασμός	restriction	
G6204	ἀκροάομαι	to hear	
G6205	ἀκρόασις	a hearing	
G6206	ἀκρόβυστος	uncircumcised	
G6207	ἀκρόδρυα	a fruit tree	
G6208	ἄκρος	a toe/thumb/tip	
G6209	ἀκρότομος	chiseled	
G6210	ἀκρωτήριον	an extremity	
G6211	ἄκυρος	void	
G6212	ἀλαζονεύομαι	to act ostentatiously	
G6213	ἀλάλαγμα	a price	
G6214	ἀλαλαγμός	a shout	
G6215	ἀλάομαι	be a runaway	
G6216	ἀλγέω	to ache	
G6217	ἀλγηδών	suffering	
G6218	ἄλγημα	pain	
G6219	ἀλγηρός	painful	
G6220	ἄλγος	pain	
G6221	ἄλειμμα	an anointing	
G6222	ἀλέω	to grind flour	
G6223	ἁλιαίετος	an osprey	
G6224	ἅλιμος	a salty land	
G6225	ἀλισγέω	to pollute	
G6226	ἁλίσκομαι	to capture	
G6227	ἀλλ᾽ ἢ	but only	
G6228	ἄλλαγμα	a price	
G6229	ἀλλόγλωσσος	foreign tongue	
G6230	ἀλλοιόω	to change	
G6231	ἀλλοίωσις	change	
G6232	ἀλλοτριόω	to alienate	
G6233	ἀλλοτρίως	strangely	
G6234	ἀλλοτρίωσις	alienation	
G6235	ἀλλόφωνος	foreign language	
G6236	ἅλμα	a leap	
G6237	ἅλμη	brine	
G6238	ἁλμυρίς	salt-flats	
G6239	ἁλμυρός	brackish	
G6240	ἀλοητός	threshing	
G6241	ἀλοιφή	ointment	
G6242	ἄλσος	a sacred grove	
G6243	ἀλσώδης	a woods	
G6244	ἁλυσιδωτός	a chain-work	
G6245	ἄλφιτον	toasted grain	
G6246	ἀλφός	psoriasis	
G6247	ἀλώθ	aloe	
G6248	ἄμαξα	a wagon	
G6249	αμασενίθ	octaves	
G6250	ἀμάσητος	unchewable	
G6251	αματταρί	a mark	
G6252	ἀμαυρός	faint	
G6253	ἀμαυρόω	to darken	
G6254	ἀμβλύνω	to blunt	
G6255	ἀμέλγω	to extract	
G6256	ἄμελξις	a milking	
G6257	ἀμελῶς	indifferently	
G6258	ἀμέτρητος	unmeasured	
G6259	ἄμητος	a harvest	
G6260	ἀμισθί	without pay	
G6261	ἀμνάς	a ewe-lamb	
G6262	ἀμνήστευτος	not betrothed	
G6263	ἀμορίτης	honey-bread	
G6264	ἀμπλάκημα	an error	
G6265	ἀμύγδαλον	an almond	
G6266	ἀμύθητος	untold	
G6267	ἀμφίασις	clothing	
G6268	ἀμφιβολεύς	a fisherman	
G6269	αμφίταπος	a spread	
G6270	ἀμφοτεροδέξιος	ambidextrous	
G6271	ἀνάμεσος	in between	
G6272	ἀναβαθμίς	stairs	
G6273	ἀνάβασις	ascending	
G6274	ἀναβαστάζω	to carry	
G6275	ἀναβάτης	a rider	
G6276	ἀναβλαστάνω	to sprout up	
G6277	ἀναβράσσω	to stir up	
G6278	ἀναδενδράς	tendril	
G6279	ἀναζεύγνυμι	to break camp	
G6280	ἀναζέω	to break out	
G6281	ἀναζυγή	marching	
G6282	ἀναιδής	impudent	
G6283	ἀναιδῶς	impudently	
G6284	ἀνακαίω	to kindle	
G6285	ἀνακαλέω	to call by name	
G6286	ἀνάκλισις	laying down	
G6287	ἀνάκλιτος	a couch	
G6288	ἀνακρούω	to play music	
G6289	ἀναλάμπω	to blaze up	
G6290	ἀνάλγητος	unfeeling	
G6291	ἀναλέγω	to gather up	
G6292	ἀνάλημμα	an elevation	
G6293	ἀνάλωσις	consumption	
G6294	ἀναμίγνυμι	to intermingle	
G6295	ἀνάνευσις	reluctance	
