# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 2820042     
# File Date: 02/20/2021 19:26:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS
#		Strong's number with extensions
#		G0001  - G5624,  Strongs numbers from original set made by Strong for Greek behind the KJV  
#		G3203  - G3302,  Not used for some reason
#		G5627  - G5799,  Greek morphology codes  (these numbers aren't used in this lexicon) 
#		G5800  - G5893,  Greek Synonyms - see http://studybible.info/strongs/G5800  (these numbers aren't used in this lexicon) 
#		G6000  - G6090,  Extra Strongs Numbers in NASB mainly for variants not known to Strong. (they remain the same so it is backward-compatible with NASB) 
#		G6100  - G9979,  Extra Greek from Apostolic Bible Project mainly for LXX words not found in NT (including Greek names that don't occur in the Hebrew) 
#		G6091  - G6099,  G9980 - G9999, Extra Greek for variants which are not included in NASB or Apostolic Bible  
#		G10000 - G19999, Greek equivalent of Strongs Hebrew numbers for names and transliterated words eg  Abagtha (H0005) = G10005. When there is a NT equivalent, this is the STEP_LexicalTag
#		G20000 - G20199, Words where  the Full LSJ entry refers to the LXX, but they are not referred to in the AB tagging because they only occur in non-Protestant canons or in MSS other than Vaticanus (used by AB)
#	WORD
#		Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS
#		Transliteration
#	GLOSS
#		A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH
#		Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#		Language is A=Aramaic, H=Hebrew, G=Greek and N=Name (which is not language specific).
#		Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative,
#			Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb.
#		Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
#		Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)
#	DEF
#		Definition, lexical entry.
#		The Brief lexicon uses Abbot-Smith or MiddleLiddel or Mounce's Teknia when entries are missing.
#		(AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
#		(ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
#		(MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) -  used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
STRONGS	WORD	TRANS	GLOSS	MORPH	DEF
G1	Ἀλφα	Alpha	alpha	G:N	Α, α, ἄλφα (which see), τό, indecl, alpha, the first letter of the Greek alphabet. As a numeral, ά = 1, α = 1000. As a prefix, it appears to have at least two and perhaps three distinct senses: 1) ἀ- (before a vowel, ἀν-) negative, as in ἄ-γνωστος, ἄ-δικος. 2) ἀ, ἁ- copulative, indicating community and fellowship, as in ἁ-πλοῦς, ἀ-κολουθέω, ἀ-δελφός. 3) An intensive force (LS, s. α), as in ἀ-τενίζω is sometimes assumed (but see Boisacq, see word). (AS)
G2	Ἀαρών	Aarōn	Aaron	N:N-M-P	(Heb. אַהֲרוֹן), indecl. (in FlJ, -ῶνος), Aaron (Exo.4:14, al.): Luk.1:5, Act.7:40, Heb.5:4, 7:11, 9:4. (AS)
G3	Ἀβαδδών	Abaddōn	Abaddon	N:N--T	(Heb. אֲבַדּוֹן, destruction; LXX, ἀπώλεια, only in Wisdom Lit, of the place of the ruined dead: Job.26:6, 28:22, 31:12, Psa.88:12, Pro.15:11 *), indecl; in NT, Abaddon, the angel of the Abyss: Rev.9:11. (AS)
G4	ἀβαρής	abarēs	not burdensome	G:A	αβαρής, -ές (&lt; βαρός), without weight; metaph. (MM, VGT, see word) not burdensome: 2Co.11:9. (AS)
G5	ἀββά	abba	Father	G:N-M	(T, -ᾶ), indecl. (Aram, אַבָּא, emphatic form of אַב = Heb. אָב, father), used in the phrase Ἀ. ὁ παήρ, Abba, Father (see Swete on Mk, I.with): Mrk.14:36, Rom.8:15, Gal.4:6. (AS)
G6	Ἄβελ	Abel	Abel	N:N-M-P	(WH, Ἅ-), ὁ, indecl. (הֶבֶל), Abel (Gen.4:2-10): Heb.11:4, 12:24; αἵμα Ἄ, Mat.23:35, Luk.11:51. (AS)
G7	Ἀβιά	Abia	Abijah	N:N-M-P	(Heb. אֲבִיָּה, אֲבִיָּהוּ), ὁ, indecl. (in FlJ, Ἀβίας, -α), Abia, Abijah. 1) Son of Rehoboam (3Ki.14:1): Mat.1:7. 2) A priest of the line of Eleazar (1Ch.24:3, 10): Luk.1:5. (AS)
G8	Ἀβιαθάρ	Abiathar	Abiathar	N:N-M-P	Ἀβιάθαρ, ὁ, indecl. (Heb. אֶבְיָתָר), Abiathar (1Ki.21:1): Mrk.2:26. (AS)
G9	Ἀβιληνή	Abilēnē	Abilene	N:N-F-L	Ἀβειληνή (T, Rec. Ἀβι-), -ῆς, ἡ, (sc. χώρα), Abilene, a district in the Anti-Lebanon: Luk.3:1. (AS)
G10	Ἀβιούδ	Abioud	Abiud	N:N-M-P	ὁ, indecl. (Heb. אֲבִיָּהוּד), Abiud, Abihud: Mat.1:13. (AS)
G11	Ἀβραάμ	Abraam	Abraham	N:N-M-P	(Heb. אַבְרָהָם), ὁ, indecl. (in FlJ, Ἄβραμος, -ου; MM, VGT, see word), Abraham (Gen.17:5 al.): Mat.1:1, 2 al. (AS)
G12	ἄβυσσος	abussos	abyss	G:N-F	ἄ-βυσσος, -ον (Ion. βυσσός = βυθός), 1) in cl, boundless, bottomless (e.g. ἄ. πέλαγος, ἄ. πλοῦτος Æsch.). 2) [In LXX (for תְּהוֹם, Gen.1:2, al; exc. Isa.44:27, Job.41:22 for צוּלָה, מְצוּלָה, Job.36:16 for רַחַב) and] NT, as subst. (MM, VGT, see word), ἡ ἄ. (sc. χώρα), the abyss; (a) of the sea (Gen.1:2); (b) of the underworld, as the abode of the dead: Rom.10:7 (a paraphrase of Deu.30:13 LXX); as the abode of demons, Luk.8:31, Rev.9:1, 2, 11, 11:7, 17:8, 20:1, 3 (Cremer, 2). (AS)
G13	Ἄγαβος	Agabos	Agabus	N:N-M-P	-ου, ὁ Agabus: Act.11:28, 21:10. (AS)
