# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 1452460     
# File Date: 02/20/2021 19:25:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS
#		Strong's number
#	WORD
#		Hebrew word
#	TRANS
#		Transliterated word
#	PRONOUNCE
#		Pronunciation
#	LANG
#		Language
#	MORPH
#		Part of speech
#	DEF
#		Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
H1	אָב	ʼâb	awb	heb	Noun Masculine	a primitive word; father, in a literal and immediate, or figurative and remote application; chief, (fore-) father(-less), [idiom] patrimony, principal. Compare names in 'Abi-'.
H2	אַב	ʼab	ab	arc	Noun Masculine	(Aramaic) corresponding to אָב; {father}; father.
H3	אֵב	ʼêb	abe	heb	Noun Masculine	from the same as אָבִיב; a green plant; greenness, fruit.
H4	אֵב	ʼêb	abe	arc	Noun Masculine	(Aramaic) corresponding to אֵב; {a green plant}; fruit.
H5	אֲבַגְתָא	ʼĂbagthâʼ	ab-ag-thaw'	x-pn	Proper Name Masculine	of foreign origin; Abagtha, a eunuch of Xerxes; Abagtha.
H6	אָבַד	ʼâbad	aw-bad'	heb	Verb	a primitive root; properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy); break, destroy(-uction), [phrase] not escape, fail, lose, (cause to, make) perish, spend, [idiom] and surely, take, be undone, [idiom] utterly, be void of, have no way to flee.
H7	אֲבַד	ʼăbad	ab-ad'	arc	Verb	(Aramaic) corresponding to אָבַד; {properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)}; destroy, perish.
H8	אֹבֵד	ʼôbêd	o-bade'	heb	Noun Masculine	active of participle of אָבַד; (concrete) wretched or (abstract) destruction; perish.
H9	אֲבֵדָה	ʼăbêdâh	ab-ay-daw'	heb	Noun Feminine	from אָבַד; Compare אֲבַדֹּה.; concrete, something lost; abstract, destruction, i.e. Hades; lost.
H10	אֲבַדֹּה	ʼăbaddôh	ab-ad-do'	heb	Noun Feminine	the same as אֲבֵדָה, miswritten for אֲבַדּוֹן; a perishing; destruction.
