# File Name: Hebrew_Lexicon_Tyndale.txt
# File Size: 1254822     
# File Date: 02/15/2021 14:23:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Hebrew Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Abridged BDB by http://onlinebible.net, edited by Tyndale House Cambridge
# Source Definitions Copyright: Larry Pierce, larrypierce@alumni.uwaterloo.ca
# Source Definitions Copyright: Explicit usage permission required to use definition in your application
# Source Definitions Copyright: Larry Pierce granted permission for Nainoia Inc applications on 3/11/2019
#
# COLUMNS
#	STRONGS
#		These Extended Strong Numbers are mapped to BDB (and thereby to other modern lexicons) by OpenScriptures.org.
#		This adds about 800 words which are found in modern lexicons but were not differentiated by Strong.
#		Numbers beyond 9000 include non-lexical prefixes and suffixed. They were created by Tyndale House, Cambridge
#		They are designed to be backward compatible with software that uses Strongs numbers. 
#	WORD
#		Hebrew form	based on BDB, then normalised
#	TRANS
#		Transliteration
#	GLOSS
#		A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH
#		These were created by Tyndale scholars as a simple grammatical value of the main word represented as Language:Type-Gender-Extra. 
#		Language:Type-Gender-Extra.   Language is A=Aramaic, H=Hebrew, G=Greek and n+Name (which is not language specific). 
#		Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative,
#			Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb. 
#		Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
#		Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)
#
#		(notes re Morph)
#		Location is only used for places not named after people - eg: Israel = N:N-M-P (for the Person, and nation); Jerusalem = N:N--L; Canaanite is N:N-M-LG; Israelitess is N:N-F-PG
#		Location is a geographical entity such as river, mountain or city eg "Dan", but Gentilic is used for Amon, Syria, Judah, or the tribal area of Dan. The idea is that someone from
#		Dan is probably related to Dan unless he is called a Hittite, but someone from Jerusalem or the city of Dan could be from anywhere even though he is named after the city.
#		So a "Shulemite" (who is prob from Salem ie Shalem aka Jerusalem) is dark-skinned and perhaps not a native from the area.
#		Title is a misc category that incl names of gods, musical term & months and offices such as Pharaoh unless referring to an individual eg Pharaoh Necho who is N:N-M-P
#		When F or M occ with L or T it refers to the gender of that person, not the location, so Jerusalem = N:N--L, Jerusalemites = N:N-G-L, Jerusalemitess = N:N-F-L 
#		When Gentilics related to a person the STEP_LexicalTag points to the Person eg Danites => Dan.  When Gentilics point to a place, the STEP_LexicalTag points to that place,
#		eg Gileadites => Gilead. When there is no numbered tag for the person or place, we probably aren't sure what it is, so the STEP_LexicalTag doesn't have anywhere different to point,
#		eg. Girgashites. Some very common Gentilics (eg Levite) have gained a meaning of their own which may be related to a person but much less so - so the STEP_LexicalTag does not
#		redirect to the entry for that person. 
#		Odd ones: Jew=N:N-G-P, Jewish=N:A, Jewess+Ammonitess=N:N-G-P-F, Canaanite-trader=N:N-G-P / N:N-G-T, Chaldean-magi=N:N-G-L / N:N-G-T,
#			Nephusim=N:N-G-T, Rephaim=N:N-G-P / N:N-G-T, Shulamite+Shunammite+Carmelitess+Jezreelitess=N:N-F-L
#	DEF
#		Definitions are based on the Abridged BDB by Online Bible, and edited to conform with the extended Strongs. They are for guidence only.
#		Permission should be gained from Online Bible before these are applied in any project.  These defs refer to J. Green's A Concise Lexicon
#		of the Biblical Languages (CLBL) and Harris, Archer, & Waltke's Theological Wordbook of the Old Testament (TWOT),
#		These definitions were edited to align with the augmented Strongs by Tyndale House Cambridge. 
#
STRONGS	WORD	TRANS	GLOSS	MORPH	DEF
H1	אָב	av	father	H:N-M	1) father of an individual 2) of God as father of his people 3) head or founder of a household, group, family, or clan 4) ancestor 4a) grandfather, forefathers - of person 4b) of people 5) originator or patron of a class, profession, or art 6) of producer, generator (fig.) 7) of benevolence and protection (fig.) 8) term of respect and honour 9) ruler or chief (spec.)
H2	אַב	av	father	A:N-M	father
H3	אֵב	ev	greenery	H:N-M	freshness, fresh green, green shoots, or greenery
H4	אֵב	ev	fruit	A:N-M	fruit, fresh, young, greening
H5	אֲבַגְתָא	a.vag.ta	Abagtha	N:N-M-P	Abagtha = "God-given" one of the seven eunuchs in the Persian court of Ahasuerus
H6	אָבַד	a.vad	to perish	H:V	perish, vanish, go astray, be destroyed 1a) (Qal) 1a1) perish, die, be exterminated 1a2) perish, vanish (fig.) 1a3) be lost, strayed 1b) (Piel) 1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate 1b2) to blot out, do away with, cause to vanish, (fig.) 1b3) cause to stray, lose 1c) (Hiphil) 1c1) to destroy, put to death 1c1a) of divine judgment 1c2) object name of kings (fig.)
H7	אֲבַד	a.vad	to destroy	A:V	to perish, vanish 1a) (P'al) shall perish 1b) (Aphel) destroy 1c) (Hophal) be destroyed
H8	אֹבֵד	o.ved	destruction	H:N-M	destruction
H9	אֲבֵדָה	a.ve.dah	something lost	H:N-F	a lost thing, something lost
H10	אֲבַדּוֹן	a.vad.don	destruction	H:N-F	a perishing
H11	אֲבַדּוֹן	a.vad.don	Abaddon	N:N--L	place of destruction, destruction, ruin, Abaddon
H12	אַבְדָ֑ן	av.dan	destruction	H:N-M	destruction
H13	אׇבְדַן	ov.dan	destruction	H:N-M	destruction
H14	אָבָה	a.vah	be willing	H:V	to be willing, consent 1a) (Qal) 1a1) to be willing 1a2) to consent, yield to, accept 1a3) to desire
H15	אָבִי	a.veh	oh that!	H:N-F	entreat, longing, desire
H16	אֵ֫בֶה	e.veh	papyrus	H:N-M	reed, papyrus
H17	אֲבוֹי	a.voy	pain!	H:Intj	Oh, Woe, (exclamation of pain - indicates desire or uneasiness)
H18	אֵבוּס	e.vus	crib	H:N-M	crib, manger, feeding trough
H19	אִבְחָה	iv.chah	slaughter	H:N-F	slaughter, flesh, meat, slaughtered meat
H20	אֲבַטִּחִים	a.vat.ti.ach	melon	H:N-M	watermelon, Egyptian fruit
H21	אֲבִי	a.vi	Abi	N:N-F-P	Abi = "my father" mother of Hezekiah (cf H29)
H22	אֲבִיאֵל	a.vi.el	Abiel	N:N-M-P	Abiel = "El (God) is (my) father" Saul's grandfather
H23	אֲבִיאָסָף	a.vi.a.saph	Abiasaph	N:N-M-P	Abiasaph = "my father has gathered" son (descendant) of Korah
H24	אָבִיב	a.viv	Abib	H:N-M/N:N--T	1) fresh, young barley ears, barley 2) month of ear-forming, of greening of crop, of growing green Abib, month of exodus and passover (March or April)
H25	אֲבִי גִבְעוֹן	a.vi giv.on	Abi-gibeon	N:N-M-P/N:N--L	Abi Gibon = "father of Gibeon" site of great Bamah, location of the tabernacle of the Lord in the high place
H26	אֲבִיגַ֫יִל, אֲבִיגַ֫ל	a.vi.ga.yil	Abigail	N:N-F-P	Abigail = "my father is joy" 1) wife of Nabal, then of David 2) sister of David
H27	אֲבִידָן	a.vi.dan	Abidan	N:N-M-P	Abidan = "my father is judge" a prince (ruler) of Benjamin
H28	אֲבִידָע	a.vi.da	Abida	N:N-M-P	Abida or Abidah = "my father knows" fourth son of Midian and grandson of Abraham by his wife Keturah (after Sarah died)
H29	אֲבִיָּ֫הוּ, אֲבִיָּה	a.viy.yah	Abijah	N:N-M-P	Abia or Abiah or Abijah = "Jehovah is (my) father" 1) king of Judah, son and successor of Rehoboam 2) second son of Samuel 3) son of Jeroboam the first, king of Israel 4) son of Becher, a Benjamite 5) head of a priestly house (one of the 24 Levite groups) 6) head of a priestly house (after the exile) 7) wife of Hezron 8) mother of Hezekiah (cf H21)
H30	אֲבִיהוּא	a.vi.hu	Abihu	N:N-M-P	Abihu = "he is (my) father" a son of Aaron destroyed for sacrificing strange fire to God
H31	אֲבִיהוּד	a.vi.hud	Abihud	N:N-M-P	Abihud = "my father is majesty" son of Bela, a Benjamite
H32	אֲבִיחַ֫יִל	a.vi.ha.yil	Abihail	N:N-M-P	Abihail = "my father is might" 1) a Levite in Moses's time 2) a Gadite 3) father of Esther 4) wife of Abishur 5) wife of Rehoboam
